# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   69       2.473306368740e-10       4.219169401596e-14      -7.036793075352e-13       0.000000000000e+00       2.570958899671e-11       3.000053563622e-12      -1.020017559267e-14 
   70       2.505695677432e-10       4.393000228015e-14      -7.621427402525e-13       0.000000000000e+00       2.485076015619e-11       2.912994084964e-12      -1.011299350200e-14 
   71       2.538399325382e-10       4.569883388551e-14      -8.222961177033e-13       0.000000000000e+00       2.402857241885e-11       2.829583240464e-12      -1.000061624392e-14 
   72       2.571414818166e-10       4.749730145666e-14      -8.841363927767e-13       0.000000000000e+00       2.323851724679e-11       2.749501335352e-12      -9.851765635967e-15 
   73       2.604751096700e-10       4.932430963425e-14      -9.476315150353e-13       0.000000000000e+00       2.247997441247e-11       2.672691039628e-12      -9.669607481928e-15 
   74       2.638417280794e-10       5.117865326519e-14      -1.012738885131e-12       0.000000000000e+00       2.175299489155e-11       2.599123955941e-12      -9.461833935763e-15 
   75       2.672418456846e-10       5.305905202850e-14      -1.079411960447e-12       0.000000000000e+00       2.105712574775e-11       2.528714752471e-12      -9.237110506836e-15 
   76       2.706755434844e-10       5.496414924306e-14      -1.147600184046e-12       0.000000000000e+00       2.039138566407e-11       2.461318447511e-12      -9.005109489922e-15 
   77       2.741424505376e-10       5.689251067540e-14      -1.217248913616e-12       0.000000000000e+00       1.975424047395e-11       2.396727694049e-12      -8.776543395233e-15 
   78       2.776417196630e-10       5.884262334746e-14      -1.288299350428e-12       0.000000000000e+00       1.914357869249e-11       2.334670064352e-12      -8.563198378434e-15 
   79       2.811720031404e-10       6.081289434441e-14      -1.360688468275e-12       0.000000000000e+00       1.855668704764e-11       2.274805334546e-12      -8.377967670661e-15 
   80       2.847320023483e-10       6.280170418986e-14      -1.434354489853e-12       0.000000000000e+00       1.799092433922e-11       2.216810433775e-12      -8.231820355121e-15 
   81       2.883222800640e-10       6.480758026955e-14      -1.509254567459e-12       0.000000000000e+00       1.744593161908e-11       2.160657255413e-12      -8.124027906156e-15 
   82       2.919437200132e-10       6.682905149010e-14      -1.585350057498e-12       0.000000000000e+00       1.692176297307e-11       2.106378361068e-12      -8.050293412056e-15 
   83       2.955969674265e-10       6.886459620762e-14      -1.662601276975e-12       0.000000000000e+00       1.641820992610e-11       2.053982526068e-12      -8.005642510628e-15 
   84       2.992824153691e-10       7.091264204603e-14      -1.740967535175e-12       0.000000000000e+00       1.593478990543e-11       2.003453647464e-12      -7.984400066377e-15 
   85       3.030001910694e-10       7.297156571532e-14      -1.820407165341e-12       0.000000000000e+00       1.547073470382e-11       1.954749652024e-12      -7.980166847679e-15 
   86       3.067501422479e-10       7.503969282986e-14      -1.900877556351e-12       0.000000000000e+00       1.502497894271e-11       1.907801404241e-12      -7.985796203966e-15 
   87       3.105318234467e-10       7.711529772670e-14      -1.982335184402e-12       0.000000000000e+00       1.459614853544e-11       1.862511614330e-12      -7.993370742899e-15 
   88       3.143444823582e-10       7.919660328379e-14      -2.064735644686e-12       0.000000000000e+00       1.418254915042e-11       1.818753746229e-12      -7.994179007548e-15 
   89       3.181873721677e-10       8.128180356866e-14      -2.148031922313e-12       0.000000000000e+00       1.378256970129e-11       1.776403965514e-12      -7.980571694889e-15 
   90       3.220607745335e-10       8.336913625197e-14      -2.232168825170e-12       0.000000000000e+00       1.339599050239e-11       1.735445106903e-12      -7.951914852013e-15 
   91       3.259651126384e-10       8.545682127130e-14      -2.317087732064e-12       0.000000000000e+00       1.302286001946e-11       1.695877079836e-12      -7.909531916780e-15 
   92       3.299006307968e-10       8.754303917016e-14      -2.402728280961e-12       0.000000000000e+00       1.266309286553e-11       1.657684691728e-12      -7.854912077466e-15 
   93       3.338673856681e-10       8.962593125826e-14      -2.489028374289e-12       0.000000000000e+00       1.231646448170e-11       1.620837050955e-12      -7.789715107869e-15 
   94       3.378652374696e-10       9.170359977188e-14      -2.575924184238e-12       0.000000000000e+00       1.198260581805e-11       1.585286969828e-12      -7.715776202403e-15 
   95       3.418938411899e-10       9.377410803414e-14      -2.663350158062e-12       0.000000000000e+00       1.166099801437e-11       1.550970367581e-12      -7.635110811206e-15 
   96       3.459526378018e-10       9.583548061531e-14      -2.751239023377e-12       0.000000000000e+00       1.135096708107e-11       1.517805673346e-12      -7.549919475231e-15 
   97       3.500408454752e-10       9.788570349318e-14      -2.839521793465e-12       0.000000000000e+00       1.105167857992e-11       1.485693229135e-12      -7.462592661358e-15 
   98       3.541574507908e-10       9.992272421331e-14      -2.928127772574e-12       0.000000000000e+00       1.076213230496e-11       1.454514692823e-12      -7.375715597483e-15 
   99       3.583014621911e-10       1.019444999800e-13      -3.016985937054e-12       0.000000000000e+00       1.048139151336e-11       1.424160644145e-12      -7.291562888634e-15 
  100       3.624727302911e-10       1.039491493545e-13      -3.106029290534e-12       0.000000000000e+00       1.020931916358e-11       1.394619154802e-12      -7.210490235447e-15 
  101       3.666712279745e-10       1.059348224415e-13      -3.195191138336e-12       0.000000000000e+00       9.945936562752e-12       1.365898712826e-12      -7.132322838882e-15 
  102       3.708967929842e-10       1.078996556072e-13      -3.284403788370e-12       0.000000000000e+00       9.691195675009e-12       1.338000886822e-12      -7.056843964151e-15 
  103       3.751491223135e-10       1.098417722203e-13      -3.373598573114e-12       0.000000000000e+00       9.444976645373e-12       1.310920070803e-12      -6.983793591349e-15 
  104       3.794277665986e-10       1.117592833939e-13      -3.462705871591e-12       0.000000000000e+00       9.207085323604e-12       1.284643229022e-12      -6.912867066084e-15 
  105       3.837321245094e-10       1.136502887262e-13      -3.551655131346e-12       0.000000000000e+00       8.977250788054e-12       1.259149640812e-12      -6.843713750101e-15 
  106       3.880614371420e-10       1.155128770422e-13      -3.640374890424e-12       0.000000000000e+00       8.755122869523e-12       1.234410645420e-12      -6.775935671912e-15 
  107       3.924147824103e-10       1.173451271349e-13      -3.728792799348e-12       0.000000000000e+00       8.540269675116e-12       1.210389386839e-12      -6.709086177424e-15 
  108       3.967910694376e-10       1.191451085064e-13      -3.816835643095e-12       0.000000000000e+00       8.332175112098e-12       1.187040558649e-12      -6.642668580566e-15 
  109       4.011890329483e-10       1.209108821093e-13      -3.904429363078e-12       0.000000000000e+00       8.130236411749e-12       1.164310148847e-12      -6.576134813915e-15 
  110       4.056074537794e-10       1.226405485283e-13      -3.991499732205e-12       0.000000000000e+00       7.933900015188e-12       1.142148378229e-12      -6.509009756641e-15 
  111       4.100458645207e-10       1.243323979414e-13      -4.077974431131e-12       0.000000000000e+00       7.743094308485e-12       1.120550944900e-12      -6.441285197399e-15 
  112       4.145039241057e-10       1.259847808272e-13      -4.163781280084e-12       0.000000000000e+00       7.557847891967e-12       1.099522605198e-12      -6.373073999437e-15 
  113       4.189811964176e-10       1.275960634337e-13      -4.248847637612e-12       0.000000000000e+00       7.378155065279e-12       1.079064327939e-12      -6.304488817393e-15 
  114       4.234771469036e-10       1.291646289860e-13      -4.333100428969e-12       0.000000000000e+00       7.203974711066e-12       1.059173168912e-12      -6.235641983081e-15 
  115       4.279911391889e-10       1.306888788936e-13      -4.416466174517e-12       0.000000000000e+00       7.035229178650e-12       1.039842145387e-12      -6.166645391278e-15 
