# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   87       3.365499264612e-10       8.332701029316e-14      -2.476189337212e-12       0.000000000000e+00       1.619537101935e-11       1.894994478024e-12      -8.077187174834e-15 
   88       3.416726355210e-10       8.569292824094e-14      -2.571814659043e-12       0.000000000000e+00       1.574881488111e-11       1.850507754174e-12      -8.024553611866e-15 
   89       3.468311007414e-10       8.807114854510e-14      -2.668523580260e-12       0.000000000000e+00       1.531668207424e-11       1.807387567839e-12      -7.973573394917e-15 
   90       3.520250197175e-10       9.045994740139e-14      -2.766260711562e-12       0.000000000000e+00       1.489875158599e-11       1.765609394001e-12      -7.923653096312e-15 
   91       3.572541648494e-10       9.285757061916e-14      -2.864967010959e-12       0.000000000000e+00       1.449508631258e-11       1.725177431289e-12      -7.874335958100e-15 
   92       3.625181728781e-10       9.526221620066e-14      -2.964581651937e-12       0.000000000000e+00       1.410560587565e-11       1.686081207500e-12      -7.825098682287e-15 
   93       3.678165385971e-10       9.767203426267e-14      -3.065042028633e-12       0.000000000000e+00       1.373008090987e-11       1.648294993893e-12      -7.775349244492e-15 
   94       3.731486085636e-10       1.000851269581e-13      -3.166283761016e-12       0.000000000000e+00       1.336812735047e-11       1.611777219489e-12      -7.724424707602e-15 
   95       3.785135748091e-10       1.024995483976e-13      -3.268240700067e-12       0.000000000000e+00       1.301920072080e-11       1.576469885372e-12      -7.671589035424e-15 
   96       3.839104685514e-10       1.049133045711e-13      -3.370844932956e-12       0.000000000000e+00       1.268259041985e-11       1.542297978979e-12      -7.616030906343e-15 
   97       3.893381539048e-10       1.073243532697e-13      -3.474026788226e-12       0.000000000000e+00       1.235741400983e-11       1.509168888406e-12      -7.556861526972e-15 
   98       3.947953215921e-10       1.097306040068e-13      -3.577714840966e-12       0.000000000000e+00       1.204261150373e-11       1.476971816704e-12      -7.493112445810e-15 
   99       4.002807058585e-10       1.121299644414e-13      -3.681837410032e-12       0.000000000000e+00       1.173719022196e-11       1.445604615591e-12      -7.424023778878e-15 
  100       4.057937838671e-10       1.145204873189e-13      -3.786327280471e-12       0.000000000000e+00       1.144101128337e-11       1.415059889439e-12      -7.349960194592e-15 
  101       4.113341641450e-10       1.169002442941e-13      -3.891117662720e-12       0.000000000000e+00       1.115410442013e-11       1.385350055855e-12      -7.271621212257e-15 
  102       4.169013686795e-10       1.192672817662e-13      -3.996140783216e-12       0.000000000000e+00       1.087642470554e-11       1.356480764156e-12      -7.189763681693e-15 
  103       4.224948293350e-10       1.216196213638e-13      -4.101327907654e-12       0.000000000000e+00       1.060784987877e-11       1.328450642020e-12      -7.105203117036e-15 
  104       4.281138842691e-10       1.239552604302e-13      -4.206609364259e-12       0.000000000000e+00       1.034817766959e-11       1.301251042146e-12      -7.018815030536e-15 
  105       4.337577743498e-10       1.262721725086e-13      -4.311914567046e-12       0.000000000000e+00       1.009712312317e-11       1.274865788901e-12      -6.931536266359e-15 
  106       4.394256395717e-10       1.285683078275e-13      -4.417172039085e-12       0.000000000000e+00       9.854315924766e-12       1.249270924982e-12      -6.844366334385e-15 
  107       4.451165154731e-10       1.308415937859e-13      -4.522309435768e-12       0.000000000000e+00       9.619297724546e-12       1.224434458066e-12      -6.758368744006e-15 
  108       4.508293295521e-10       1.330899354385e-13      -4.627253568070e-12       0.000000000000e+00       9.391519462293e-12       1.200316107465e-12      -6.674672337932e-15 
  109       4.565628976836e-10       1.353112159812e-13      -4.731930425818e-12       0.000000000000e+00       9.170338692172e-12       1.176867050784e-12      -6.594472625982e-15 
  110       4.623160501517e-10       1.375033447631e-13      -4.836265480473e-12       0.000000000000e+00       8.955165565614e-12       1.154041890520e-12      -6.518788941078e-15 
  111       4.680880357665e-10       1.396644072665e-13      -4.940184587620e-12       0.000000000000e+00       8.745927753457e-12       1.131836838018e-12      -6.447697722832e-15 
  112       4.738781629998e-10       1.417925353184e-13      -5.043613244055e-12       0.000000000000e+00       8.542660294014e-12       1.110255964850e-12      -6.381003150528e-15 
  113       4.796856727099e-10       1.438858622213e-13      -5.146476344302e-12       0.000000000000e+00       8.345361053413e-12       1.089299287975e-12      -6.318471495751e-15 
  114       4.855097358318e-10       1.459425237049e-13      -5.248698206622e-12       0.000000000000e+00       8.153989511363e-12       1.068962636494e-12      -6.259830056402e-15 
  115       4.913494510677e-10       1.479606588787e-13      -5.350202599026e-12       0.000000000000e+00       7.968465546916e-12       1.049237518397e-12      -6.204766090717e-15 
  116       4.972038425776e-10       1.499384111845e-13      -5.450912765290e-12       0.000000000000e+00       7.788668224237e-12       1.030110987318e-12      -6.152925751283e-15 
  117       5.030718576699e-10       1.518739293486e-13      -5.550751450961e-12       0.000000000000e+00       7.614434578372e-12       1.011565509287e-12      -6.103913019058e-15 
  118       5.089523644915e-10       1.537653683342e-13      -5.649640929374e-12       0.000000000000e+00       7.445558401009e-12       9.935788294839e-13      -6.057288637390e-15 
  119       5.148441497189e-10       1.556108902936e-13      -5.747503027659e-12       0.000000000000e+00       7.281789026246e-12       9.761238389888e-13      -6.012569046028e-15 
  120       5.207459162482e-10       1.574086655209e-13      -5.844259152758e-12       0.000000000000e+00       7.122830116359e-12       9.591684415343e-13      -5.969225315148e-15 
  121       5.266562808858e-10       1.591568734040e-13      -5.939830317431e-12       0.000000000000e+00       6.968338447567e-12       9.426754202589e-13      -5.926682079366e-15 
  122       5.325737720389e-10       1.608537033773e-13      -6.034137166273e-12       0.000000000000e+00       6.817922695798e-12       9.266023044587e-13      -5.884316471756e-15 
  123       5.384969536547e-10       1.624974076927e-13      -6.127100890903e-12       0.000000000000e+00       6.671228521524e-12       9.109102868408e-13      -5.841571426427e-15 
  124       5.444248180786e-10       1.640864645705e-13      -6.218646039191e-12       0.000000000000e+00       6.528207478633e-12       8.955924190815e-13      -5.798312595419e-15 
  125       5.503564341864e-10       1.656194356737e-13      -6.308698079285e-12       0.000000000000e+00       6.388876853843e-12       8.806484193938e-13      -5.754510617098e-15 
  126       5.562908238747e-10       1.670949173139e-13      -6.397182572005e-12       0.000000000000e+00       6.253235604914e-12       8.660758507516e-13      -5.710130255754e-15 
  127       5.622269607452e-10       1.685115418114e-13      -6.484025203851e-12       0.000000000000e+00       6.121263825396e-12       8.518700588493e-13      -5.665130235450e-15 
  128       5.681637687883e-10       1.698679788554e-13      -6.569151820007e-12       0.000000000000e+00       5.992922209380e-12       8.380241100620e-13      -5.619463073874e-15 
  129       5.741001210670e-10       1.711629368636e-13      -6.652488457355e-12       0.000000000000e+00       5.868151516255e-12       8.245287294054e-13      -5.573074916187e-15 
  130       5.800348384007e-10       1.723951643428e-13      -6.733961377478e-12       0.000000000000e+00       5.746872035453e-12       8.113722384961e-13      -5.525905368872e-15 
  131       5.859666880489e-10       1.735634512486e-13      -6.813497099666e-12       0.000000000000e+00       5.628983051206e-12       7.985404935111e-13      -5.477887333580e-15 
  132       5.918943823950e-10       1.746666303456e-13      -6.891022433931e-12       0.000000000000e+00       5.514362307297e-12       7.860168231483e-13      -5.428946840984e-15 
  133       5.978165776305e-10       1.757035785675e-13      -6.966464514008e-12       0.000000000000e+00       5.402865471807e-12       7.737819665864e-13      -5.379002884626e-15 
  134       6.037318724381e-10       1.766732183770e-13      -7.039750830363e-12       0.000000000000e+00       5.294325601874e-12       7.618140114447e-13      -5.327967254764e-15 
  135       6.096388066761e-10       1.775745191261e-13      -7.110809263205e-12       0.000000000000e+00       5.188552608440e-12       7.500883317434e-13      -5.275744372224e-15 
  136       6.155358600620e-10       1.784064984159e-13      -7.179568115490e-12       0.000000000000e+00       5.085332721003e-12       7.385775258633e-13      -5.222231122246e-15 
  137       6.214215429668e-10       1.791682622593e-13      -7.245956724629e-12       0.000000000000e+00       4.984474209956e-12       7.272575733764e-13      -5.167350334441e-15 
  138       6.272946821883e-10       1.798591273806e-13      -7.309907299183e-12       0.000000000000e+00       4.885951026444e-12       7.161271559074e-13      -5.111155484417e-15 
  139       6.331541623917e-10       1.804785142090e-13      -7.371353335692e-12       0.000000000000e+00       4.789773080581e-12       7.051902272561e-13      -5.053736562000e-15 
  140       6.389988359272e-10       1.810259108028e-13      -7.430229093378e-12       0.000000000000e+00       4.695941078132e-12       6.944499515584e-13      -4.995187444224e-15 
  141       6.448275220989e-10       1.815008744562e-13      -7.486469630819e-12       0.000000000000e+00       4.604446278867e-12       6.839086807192e-13      -4.935605942738e-15 
  142       6.506390064328e-10       1.819030333053e-13      -7.540010842630e-12       0.000000000000e+00       4.515270254924e-12       6.735679318445e-13      -4.875093851218e-15 
  143       6.564320399459e-10       1.822320879347e-13      -7.590789496147e-12       0.000000000000e+00       4.428384649160e-12       6.634283646736e-13      -4.813756992768e-15 
  144       6.622053384138e-10       1.824878129835e-13      -7.638743268107e-12       0.000000000000e+00       4.343750933513e-12       6.534897590119e-13      -4.751705267333e-15 
  145       6.679575816398e-10       1.826700587521e-13      -7.683810781326e-12       0.000000000000e+00       4.261320167357e-12       6.437509921629e-13      -4.689052699102e-15 
  146       6.736874127231e-10       1.827787528081e-13      -7.725931641383e-12       0.000000000000e+00       4.181032755861e-12       6.342100163608e-13      -4.625917483916e-15 
  147       6.793934373272e-10       1.828139015930e-13      -7.765046473299e-12       0.000000000000e+00       4.102818208348e-12       6.248638362026e-13      -4.562422036679e-15 
  148       6.850742229486e-10       1.827755920283e-13      -7.801096958219e-12       0.000000000000e+00       4.026594896648e-12       6.157084860811e-13      -4.498693038760e-15 
  149       6.907282981850e-10       1.826639931221e-13      -7.834025870090e-12       0.000000000000e+00       3.952269813459e-12       6.067390076163e-13      -4.434861485403e-15 
  150       6.963541520036e-10       1.824793575751e-13      -7.863777112347e-12       0.000000000000e+00       3.879738330704e-12       5.979494270888e-13      -4.371062733135e-15 
