#Table1
ra,dec,z
200.036976884206,0.143984762419325,0.1104037
204.526891313838,0.020511737840575,0.02233166
204.679194269107,0.174089883676744,0.08386669
205.872128661526,0.194579034148558,0.07154913
206.301952500662,0.108113009155824,0.09010056
208.101266946279,0.0887838845408067,0.02351624
210.33591655387,0.1184693297904,0.02828324
211.197068848126,0.146053967979011,0.04673614
214.626795410746,0.111091272013777,0.1001999
216.652115455313,0.0419321490088822,0.05522951
217.498447511121,0.2003391125238,0.05538991
217.50189014146,0.207197877489574,0.05591804
217.582109694512,0.11913674584826,0.05626929
217.591585860247,0.121838525688446,0.05528586
217.479844567198,0.168987659556891,0.05600507
217.636296387485,0.170715771349054,0.05626931
218.03268111002,0.165190732482558,0.05549897
218.709636618998,0.0876132489853874,0.05632764
220.872809913688,0.203893408847697,0.02842417
220.943241945918,0.207403661435206,0.0284143
221.07871473227,0.0419151520274211,0.02893496
221.076526087592,0.0440576466319541,0.02818687
221.836708738717,0.0107522973568411,0.02337876
222.8475735599,0.00707960583336023,0.02316491
222.916870119468,0.0463952375853792,0.09970358
224.580608624675,0.0116729872174785,0.06752919
224.688434314933,0.0240708465254822,0.06757253
225.111619246269,0.147795101138288,0.1107273
225.971444913289,0.0182276857748082,0.07146523
227.183944950707,0.173918403180386,0.0900846
227.242521824738,0.19362036048478,0.07163873
227.564573719066,0.0402979110477676,0.06302696
227.714409004381,0.173950843026041,0.03873941
227.843989308691,0.0325650088035655,0.1246983
228.508505855453,0.169343866916101,0.1003457
228.692890031656,0.0562139016225919,0.07162303
228.909579381977,0.175627415324448,0.07159279
229.637335898888,0.0452869128267655,0.02784701
229.708294970514,0.0109497291101603,0.03904339
230.882320228259,0.0167509833597009,0.0285162
230.814576070017,0.03882071955836,0.1106239
230.97037954819,0.0953276278562364,0.1108686
233.112485826023,0.0943022173403049,0.1109121
233.272368724606,0.00638383773809886,0.03816461
234.973521613764,0.205380045099395,0.1108654
235.113411034348,0.0538222105297468,0.0953708
236.719538575402,0.153568708354252,0.07213447
239.082930149646,0.0247522352793852,0.08019761
241.795444614962,0.186352937487537,0.07199986
245.271917658386,0.210650249424292,0.06712943
245.189247536942,0.150349526099847,0.08369512
248.163770151286,0.0421389655779921,0.06738676
248.991496753118,0.0269450383987,0.02378366
184.753318883123,0.576514533189542,0.09966373
184.848799030759,0.562211455816171,0.08396018
187.199448130309,0.568467679366833,0.1103444
187.279006240147,0.581084201071461,0.02322227
187.796026412735,0.606226471377963,0.02308712
187.71668446412,0.527231891102981,0.02326956
187.748080951529,0.54209697305414,0.02379078
187.937531118948,0.511878436384592,0.02255391
187.939818192627,0.452582187907367,0.02241663
188.107046160664,0.457113981683679,0.02308414
189.843489570453,0.460233331234409,0.02358647
193.329397605935,0.60005358902243,0.104823
195.019695674291,0.452967966801581,0.02230952
195.396641518578,0.603315303236978,0.08031981
195.602456006635,0.476761116299169,0.06761101
195.68926653092,0.489793709506652,0.06743868
195.941642839409,0.537245816859366,0.08382735
196.055578144671,0.527210291328112,0.08412781
196.242451547413,0.478536432421771,0.0837504
196.686670073749,0.498333242408395,0.06708251
197.586652758054,0.517923850318065,0.06293058
197.765197571592,0.597058804501001,0.09535887
198.758834679766,0.45281092951874,0.04716071
200.197776408991,0.427892527938519,0.1108399
201.175141638789,0.629965666584562,0.08376557
201.180091366652,0.433940739868486,0.110833
201.332271612179,0.478621216539098,0.08046598
202.11015432033,0.510580067272047,0.1109238
202.162233094481,0.548258176857962,0.104407
202.269423439085,0.608329307373742,0.08009203
202.380469082609,0.463933932618222,0.1051454
202.402002910131,0.456878140256128,0.104438
202.529008155236,0.509607661365744,0.08422864
202.830872149717,0.52107885466622,0.04748611
202.848467766832,0.459289057573971,0.1002761
203.028092148039,0.517329825095487,0.04736141
203.923641951074,0.453281469477286,0.06307272
203.959195530331,0.500933056229497,0.06227171
204.377232203344,0.470607132668902,0.0473003
205.939407689062,0.466728649342103,0.07203879
206.39181800151,0.43148710870781,0.08945666
207.420445138462,0.573683748371805,0.09980882
207.449262691259,0.490028487339394,0.0622877
212.787468937064,0.51758246002949,0.104963
195.987390421879,0.529588669068992,0.1252318
193.962972719601,0.612086984285392,0.1052624
187.893952934104,0.60421778126954,0.1049813
238.463903952953,0.0590828895849305,0.0894393
231.888686339042,0.0175648745020725,0.1249548
228.93278995251,0.106035763592894,0.1045468
222.932667792009,0.0628410316741506,0.09953947
219.671581618858,0.173683074025435,0.1050894
219.340158212442,0.178573821093028,0.1046963
214.877895848006,0.164209408692354,0.08407986
208.814512735458,0.0586695283209798,0.0713549
206.190041760768,0.0922270365527172,0.09000984
205.972660545228,0.142944567025522,0.08940142
204.919122942192,0.0401706214221909,0.08399552
204.72939476917,0.104855090219858,0.08395544
193.915411864329,0.174784381664211,0.1051565
232.313165759471,-0.269942992555776,0.08427101
232.2508539706,-0.386045084721022,0.08946303
232.10147770977,-0.280597053413836,0.1248888
232.098904760527,-0.28404411862479,0.1248015
227.3274894517,-0.239964221531554,0.09015324
